'timestamp' 	 'F1Value' 	 'F2Value' 
'numInterv' 	 1000 
0.005 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 
0.025 	 --undefined-- 	 --undefined-- 
0.035 	 331.0 	 2772.5 
0.045 	 1423.9 	 2964.0 
0.055 	 2403.3 	 3364.7 
0.065 	 2250.0 	 3468.1 
0.075 	 2253.1 	 3541.0 
0.085 	 2293.2 	 3282.4 
0.095 	 2387.4 	 3090.3 
0.105 	 2350.9 	 3138.3 
0.115 	 2201.0 	 3228.4 
0.125 	 1851.3 	 3468.2 
0.135 	 922.0 	 2603.4 
0.145 	 371.8 	 1548.3 
0.155 	 422.9 	 1532.9 
0.165 	 447.9 	 1454.3 
0.175 	 467.1 	 1298.0 
0.185 	 479.5 	 1211.6 
0.195 	 482.9 	 1173.6 
0.205 	 492.9 	 1136.7 
0.215 	 518.8 	 1075.2 
0.225 	 529.4 	 1058.4 
0.235 	 528.3 	 1082.6 
0.245 	 529.2 	 1067.8 
0.255 	 526.4 	 1047.6 
0.265 	 518.4 	 1050.7 
0.275 	 515.1 	 1037.6 
0.285 	 527.6 	 989.7 
0.295 	 533.1 	 940.0 
0.305 	 523.9 	 918.0 
0.315 	 506.9 	 933.0 
0.325 	 494.6 	 941.0 
0.335 	 496.1 	 913.1 
0.345 	 522.9 	 916.9 
0.355 	 522.0 	 955.7 
0.365 	 506.8 	 975.1 
0.375 	 517.9 	 976.7 
0.385 	 591.1 	 829.2 
0.395 	 677.3 	 1331.1 
0.405 	 702.3 	 2032.3 
0.415 	 664.5 	 1377.5 
0.425 	 670.8 	 1361.5 
0.435 	 703.4 	 1386.7 
0.445 	 718.8 	 1411.1 
0.455 	 678.4 	 1489.0 
0.465 	 607.1 	 826.7 
0.475 	 611.0 	 859.2 
0.485 	 637.1 	 912.3 
0.495 	 613.2 	 952.0 
0.505 	 552.9 	 1059.4 
0.515 	 544.4 	 1081.7 
0.525 	 554.7 	 1101.3 
0.535 	 569.7 	 1125.6 
0.545 	 587.6 	 1096.5 
0.555 	 557.1 	 1103.7 
0.565 	 516.2 	 1185.1 
0.575 	 513.7 	 1265.8 
0.585 	 502.4 	 1286.8 
0.595 	 508.8 	 1314.6 
0.605 	 565.1 	 1380.5 
0.615 	 723.4 	 1371.0 
0.625 	 749.2 	 1506.9 
0.635 	 674.0 	 1675.1 
0.645 	 703.7 	 1739.8 
0.655 	 812.3 	 2030.1 
0.665 	 816.0 	 1993.4 
0.675 	 707.2 	 1769.9 
0.685 	 691.2 	 1858.3 
0.695 	 695.1 	 1911.7 
0.705 	 686.3 	 1848.7 
0.715 	 707.1 	 1748.0 
0.725 	 857.2 	 2017.6 
0.735 	 786.0 	 1926.9 
0.745 	 542.9 	 1391.5 
0.755 	 846.5 	 1698.4 
0.765 	 1030.3 	 1494.8 
0.775 	 651.4 	 1456.5 
0.785 	 547.7 	 1979.9 
0.795 	 767.8 	 1861.8 
0.805 	 796.3 	 1842.4 
0.815 	 753.6 	 1924.3 
0.825 	 935.5 	 2100.5 
0.835 	 1074.2 	 2161.4 
0.845 	 1031.0 	 2108.5 
0.855 	 1102.4 	 2206.6 
0.865 	 759.0 	 1937.4 
0.875 	 382.3 	 1568.8 
0.885 	 592.5 	 1548.1 
0.895 	 731.2 	 1548.3 
0.905 	 728.5 	 1561.4 
0.915 	 707.2 	 1566.9 
0.925 	 690.8 	 1570.7 
0.935 	 664.3 	 1548.3 
0.945 	 624.4 	 1538.5 
0.955 	 585.6 	 1562.4 
0.965 	 543.2 	 1549.5 
0.975 	 513.5 	 1474.6 
0.985 	 513.8 	 1448.8 
0.995 	 505.1 	 1555.2 
1.005 	 492.2 	 1654.2 
1.015 	 530.2 	 1597.9 
1.025 	 565.8 	 1507.6 
1.035 	 557.9 	 1509.7 
1.045 	 573.3 	 1510.1 
1.055 	 611.4 	 1482.5 
1.065 	 686.1 	 1460.5 
1.075 	 761.2 	 1432.2 
1.085 	 781.0 	 1415.7 
1.095 	 780.9 	 1420.2 
1.105 	 771.6 	 1434.6 
1.115 	 760.8 	 1456.2 
1.125 	 739.2 	 1499.6 
1.135 	 695.1 	 1529.4 
1.145 	 646.6 	 1534.6 
1.155 	 598.2 	 1531.8 
1.165 	 545.5 	 1519.2 
1.175 	 505.8 	 1471.8 
1.185 	 475.5 	 1435.3 
1.195 	 480.9 	 1771.9 
1.205 	 500.0 	 1830.2 
1.215 	 506.9 	 1558.5 
1.225 	 527.8 	 1578.3 
1.235 	 547.4 	 1935.4 
1.245 	 513.7 	 2450.5 
1.255 	 471.9 	 2701.3 
1.265 	 431.7 	 2567.7 
1.275 	 387.0 	 2007.6 
1.285 	 381.8 	 1656.7 
1.295 	 389.2 	 1732.1 
1.305 	 397.9 	 1861.0 
1.315 	 402.3 	 1933.5 
1.325 	 415.8 	 1961.6 
1.335 	 421.9 	 1941.5 
1.345 	 418.8 	 1876.4 
1.355 	 422.2 	 1823.5 
1.365 	 431.5 	 1750.3 
1.375 	 434.2 	 1651.2 
1.385 	 428.6 	 1559.1 
1.395 	 403.0 	 1456.5 
1.405 	 375.5 	 1354.7 
1.415 	 394.1 	 1315.3 
1.425 	 442.7 	 1346.7 
1.435 	 492.4 	 1382.3 
1.445 	 539.5 	 1413.7 
1.455 	 581.5 	 1438.0 
1.465 	 630.4 	 1439.5 
