'timestamp' 	 'V_Pitch' 	 'V_Intensity' 
'numInterv' 	 1000 
0.01 	 --undefined-- 	 --undefined-- 
0.02 	 --undefined-- 	 --undefined-- 
0.03 	 --undefined-- 	 --undefined-- 
0.04 	 --undefined-- 	 --undefined-- 
0.05 	 --undefined-- 	 43.726 
0.06 	 --undefined-- 	 46.078 
0.07 	 --undefined-- 	 46.574 
0.08 	 --undefined-- 	 45.115 
0.09 	 --undefined-- 	 41.372 
0.10 	 --undefined-- 	 37.332 
0.11 	 --undefined-- 	 37.933 
0.12 	 --undefined-- 	 41.784 
0.13 	 --undefined-- 	 44.577 
0.14 	 --undefined-- 	 44.902 
0.15 	 --undefined-- 	 44.090 
0.16 	 --undefined-- 	 43.885 
0.17 	 --undefined-- 	 43.529 
0.18 	 186.629 	 43.436 
0.19 	 188.308 	 44.741 
0.20 	 191.041 	 46.062 
0.21 	 192.121 	 46.531 
0.22 	 191.729 	 46.002 
0.23 	 --undefined-- 	 44.460 
0.24 	 --undefined-- 	 42.261 
0.25 	 --undefined-- 	 41.223 
0.26 	 --undefined-- 	 43.000 
0.27 	 --undefined-- 	 45.065 
0.28 	 --undefined-- 	 45.622 
0.29 	 --undefined-- 	 44.543 
0.30 	 --undefined-- 	 42.957 
0.31 	 --undefined-- 	 41.403 
0.32 	 --undefined-- 	 38.876 
0.33 	 --undefined-- 	 36.738 
0.34 	 --undefined-- 	 39.011 
0.35 	 --undefined-- 	 42.787 
0.36 	 --undefined-- 	 45.284 
0.37 	 --undefined-- 	 45.683 
0.38 	 --undefined-- 	 43.709 
0.39 	 --undefined-- 	 40.450 
0.40 	 --undefined-- 	 38.788 
0.41 	 --undefined-- 	 38.763 
0.42 	 --undefined-- 	 40.730 
0.43 	 --undefined-- 	 43.016 
0.44 	 --undefined-- 	 44.403 
0.45 	 --undefined-- 	 45.164 
0.46 	 --undefined-- 	 45.680 
0.47 	 --undefined-- 	 45.207 
0.48 	 --undefined-- 	 42.993 
0.49 	 --undefined-- 	 40.801 
0.50 	 --undefined-- 	 40.934 
0.51 	 --undefined-- 	 41.734 
0.52 	 --undefined-- 	 41.930 
0.53 	 --undefined-- 	 41.404 
0.54 	 --undefined-- 	 41.072 
0.55 	 --undefined-- 	 42.139 
0.56 	 --undefined-- 	 43.813 
0.57 	 --undefined-- 	 45.136 
0.58 	 --undefined-- 	 45.841 
0.59 	 --undefined-- 	 46.170 
0.60 	 --undefined-- 	 45.513 
0.61 	 --undefined-- 	 43.292 
0.62 	 --undefined-- 	 41.609 
0.63 	 --undefined-- 	 41.879 
0.64 	 --undefined-- 	 42.750 
0.65 	 --undefined-- 	 45.153 
0.66 	 --undefined-- 	 46.871 
0.67 	 --undefined-- 	 46.510 
0.68 	 --undefined-- 	 44.217 
0.69 	 --undefined-- 	 40.987 
0.70 	 --undefined-- 	 38.756 
0.71 	 --undefined-- 	 39.561 
0.72 	 --undefined-- 	 41.313 
0.73 	 --undefined-- 	 42.238 
0.74 	 --undefined-- 	 42.669 
0.75 	 --undefined-- 	 42.560 
0.76 	 --undefined-- 	 42.015 
0.77 	 --undefined-- 	 41.527 
0.78 	 --undefined-- 	 40.758 
0.79 	 --undefined-- 	 40.634 
0.80 	 --undefined-- 	 41.530 
0.81 	 --undefined-- 	 41.599 
0.82 	 --undefined-- 	 40.590 
0.83 	 --undefined-- 	 39.387 
0.84 	 --undefined-- 	 38.601 
0.85 	 --undefined-- 	 38.366 
0.86 	 --undefined-- 	 40.232 
0.87 	 --undefined-- 	 42.803 
0.88 	 --undefined-- 	 43.771 
0.89 	 --undefined-- 	 43.565 
0.90 	 --undefined-- 	 43.485 
0.91 	 --undefined-- 	 42.233 
0.92 	 --undefined-- 	 39.459 
0.93 	 --undefined-- 	 39.725 
0.94 	 --undefined-- 	 41.963 
0.95 	 --undefined-- 	 44.138 
0.96 	 --undefined-- 	 45.217 
0.97 	 --undefined-- 	 44.479 
0.98 	 --undefined-- 	 42.556 
0.99 	 --undefined-- 	 40.815 
