'timestamp' 	 'F1Value' 	 'F2Value' 
'numInterv' 	 1000 
0.005 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 
0.025 	 --undefined-- 	 --undefined-- 
0.035 	 442.9 	 1968.1 
0.045 	 273.4 	 1726.2 
0.055 	 482.1 	 1847.3 
0.065 	 550.4 	 2007.4 
0.075 	 307.3 	 1781.1 
0.085 	 364.8 	 1598.2 
0.095 	 298.6 	 1305.4 
0.105 	 371.7 	 1419.7 
0.115 	 414.2 	 1707.4 
0.125 	 879.5 	 2213.6 
0.135 	 1228.1 	 2536.7 
0.145 	 675.3 	 2013.6 
0.155 	 331.9 	 1778.0 
0.165 	 433.3 	 1780.1 
0.175 	 536.8 	 1670.1 
0.185 	 552.5 	 1686.6 
0.195 	 568.4 	 1758.2 
0.205 	 583.3 	 1723.8 
0.215 	 585.7 	 1665.8 
0.225 	 570.9 	 1652.8 
0.235 	 551.7 	 1726.4 
0.245 	 574.2 	 1743.7 
0.255 	 573.5 	 1718.7 
0.265 	 530.4 	 1778.5 
0.275 	 517.2 	 2037.6 
0.285 	 516.8 	 2065.9 
0.295 	 491.4 	 1762.3 
0.305 	 499.0 	 1527.6 
0.315 	 561.6 	 1660.5 
0.325 	 601.8 	 1881.4 
0.335 	 463.8 	 1922.6 
0.345 	 773.2 	 2315.9 
0.355 	 1093.2 	 2474.7 
0.365 	 1292.5 	 2694.5 
0.375 	 983.8 	 2360.6 
0.385 	 359.2 	 1678.1 
0.395 	 362.6 	 1766.0 
0.405 	 391.0 	 1584.6 
0.415 	 400.3 	 1463.4 
0.425 	 354.9 	 1630.1 
0.435 	 345.5 	 1617.2 
0.445 	 340.0 	 1614.4 
0.455 	 318.4 	 1697.1 
0.465 	 322.7 	 1693.0 
0.475 	 378.8 	 1594.5 
0.485 	 436.1 	 1461.2 
0.495 	 485.1 	 1791.4 
0.505 	 474.6 	 1816.0 
0.515 	 446.2 	 1569.3 
0.525 	 983.4 	 2243.9 
0.535 	 891.5 	 2240.4 
0.545 	 227.8 	 1803.3 
0.555 	 246.8 	 1901.8 
0.565 	 306.3 	 1641.1 
0.575 	 574.3 	 1701.7 
0.585 	 615.6 	 1863.6 
0.595 	 388.4 	 1689.4 
0.605 	 392.6 	 1668.0 
0.615 	 486.4 	 1563.2 
0.625 	 657.9 	 1567.3 
0.635 	 774.4 	 1367.3 
0.645 	 757.2 	 1324.6 
0.655 	 742.4 	 1884.8 
0.665 	 790.0 	 2099.5 
0.675 	 631.6 	 1812.3 
0.685 	 504.1 	 1683.4 
0.695 	 576.4 	 1848.0 
0.705 	 531.0 	 1703.6 
0.715 	 439.6 	 1532.3 
0.725 	 400.3 	 1566.9 
0.735 	 864.6 	 2164.4 
0.745 	 1122.1 	 2725.5 
0.755 	 596.3 	 2066.3 
0.765 	 998.6 	 2218.2 
0.775 	 1038.3 	 2537.1 
0.785 	 481.7 	 2152.7 
0.795 	 491.2 	 2061.3 
0.805 	 730.7 	 1941.0 
0.815 	 811.4 	 2091.6 
0.825 	 445.4 	 1920.2 
0.835 	 618.4 	 1865.8 
0.845 	 953.8 	 2360.4 
0.855 	 1089.3 	 2613.3 
0.865 	 1130.9 	 2647.5 
0.875 	 1139.2 	 2423.5 
0.885 	 1051.8 	 2110.2 
0.895 	 515.5 	 1933.2 
0.905 	 246.2 	 1823.6 
0.915 	 415.7 	 1898.5 
0.925 	 374.3 	 1794.4 
0.935 	 840.6 	 2235.4 
0.945 	 848.5 	 2291.3 
0.955 	 1095.9 	 2392.6 
0.965 	 1213.1 	 2602.6 
0.975 	 491.4 	 2217.0 
0.985 	 404.1 	 2062.8 
0.995 	 343.2 	 1828.1 
1.005 	 330.0 	 1698.7 
1.015 	 241.2 	 1712.8 
1.025 	 565.5 	 2004.0 
1.035 	 638.1 	 2029.1 
1.045 	 568.2 	 1937.4 
1.055 	 1011.5 	 2175.5 
1.065 	 1400.8 	 2626.2 
1.075 	 922.6 	 2326.2 
1.085 	 214.0 	 1723.4 
1.095 	 954.6 	 2156.6 
1.105 	 1449.9 	 2492.8 
1.115 	 794.6 	 1955.2 
1.125 	 461.5 	 1629.0 
1.135 	 566.1 	 1850.9 
1.145 	 708.3 	 2049.2 
1.155 	 955.6 	 2161.1 
1.165 	 624.0 	 2070.2 
1.175 	 260.6 	 1806.5 
1.185 	 395.3 	 1658.9 
1.195 	 1079.7 	 2230.0 
1.205 	 1046.8 	 2202.5 
1.215 	 764.5 	 1846.4 
1.225 	 1424.7 	 2407.3 
1.235 	 1246.9 	 2429.8 
1.245 	 772.4 	 1939.9 
1.255 	 951.8 	 1814.4 
1.265 	 1299.2 	 2340.4 
1.275 	 837.3 	 2216.8 
1.285 	 556.2 	 2030.0 
1.295 	 747.7 	 2075.6 
1.305 	 603.5 	 1754.7 
1.315 	 615.2 	 1438.1 
1.325 	 694.3 	 1639.2 
1.335 	 638.1 	 1867.8 
1.345 	 508.3 	 1693.6 
1.355 	 505.8 	 1877.4 
1.365 	 532.9 	 1953.7 
1.375 	 533.0 	 2114.0 
1.385 	 852.4 	 2268.4 
1.395 	 1166.2 	 2223.6 
1.405 	 985.9 	 2089.8 
1.415 	 766.9 	 1809.9 
1.425 	 941.7 	 1955.4 
1.435 	 977.3 	 2198.3 
1.445 	 906.8 	 2007.8 
