'timestamp' 	 'V_Pitch' 	 'V_Intensity' 
'numInterv' 	 1000 
0.01 	 --undefined-- 	 --undefined-- 
0.02 	 --undefined-- 	 --undefined-- 
0.03 	 103.880 	 --undefined-- 
0.04 	 104.173 	 --undefined-- 
0.05 	 104.241 	 56.719 
0.06 	 104.466 	 56.870 
0.07 	 104.544 	 57.072 
0.08 	 104.756 	 57.237 
0.09 	 105.472 	 57.245 
0.10 	 106.028 	 57.147 
0.11 	 106.224 	 57.130 
0.12 	 105.527 	 57.135 
0.13 	 104.670 	 56.944 
0.14 	 104.097 	 56.593 
0.15 	 104.264 	 56.183 
0.16 	 104.546 	 55.696 
0.17 	 104.240 	 54.861 
0.18 	 104.958 	 53.489 
0.19 	 108.260 	 51.875 
0.20 	 107.510 	 50.023 
0.21 	 106.673 	 47.662 
0.22 	 105.253 	 45.122 
0.23 	 109.460 	 42.728 
0.24 	 108.766 	 39.893 
0.25 	 --undefined-- 	 36.503 
0.26 	 --undefined-- 	 34.716 
0.27 	 --undefined-- 	 34.896 
0.28 	 --undefined-- 	 35.474 
0.29 	 --undefined-- 	 36.442 
0.30 	 --undefined-- 	 37.511 
0.31 	 --undefined-- 	 38.558 
0.32 	 --undefined-- 	 38.035 
0.33 	 --undefined-- 	 35.478 
0.34 	 --undefined-- 	 32.914 
0.35 	 --undefined-- 	 33.726 
0.36 	 --undefined-- 	 37.238 
0.37 	 --undefined-- 	 40.201 
0.38 	 --undefined-- 	 41.676 
0.39 	 --undefined-- 	 41.518 
0.40 	 --undefined-- 	 40.244 
0.41 	 --undefined-- 	 38.712 
0.42 	 --undefined-- 	 38.205 
0.43 	 --undefined-- 	 38.958 
0.44 	 --undefined-- 	 40.954 
0.45 	 --undefined-- 	 47.187 
0.46 	 --undefined-- 	 53.872 
0.47 	 110.527 	 58.813 
0.48 	 111.899 	 61.834 
0.49 	 111.793 	 63.132 
0.50 	 111.050 	 63.299 
0.51 	 110.130 	 62.929 
0.52 	 109.039 	 62.176 
0.53 	 106.566 	 61.081 
0.54 	 105.066 	 59.783 
0.55 	 103.994 	 58.474 
0.56 	 104.365 	 57.681 
0.57 	 106.436 	 57.750 
0.58 	 109.330 	 57.867 
0.59 	 109.914 	 57.196 
0.60 	 110.671 	 56.299 
0.61 	 113.398 	 56.214 
0.62 	 113.079 	 56.639 
0.63 	 113.608 	 57.062 
0.64 	 114.888 	 57.367 
0.65 	 116.707 	 57.548 
0.66 	 118.154 	 57.398 
0.67 	 120.352 	 56.715 
0.68 	 122.363 	 55.401 
0.69 	 123.279 	 53.143 
0.70 	 --undefined-- 	 49.773 
0.71 	 --undefined-- 	 45.919 
0.72 	 --undefined-- 	 42.675 
0.73 	 --undefined-- 	 41.257 
0.74 	 --undefined-- 	 40.266 
0.75 	 --undefined-- 	 38.755 
0.76 	 --undefined-- 	 37.792 
0.77 	 --undefined-- 	 39.321 
0.78 	 --undefined-- 	 42.006 
0.79 	 --undefined-- 	 50.129 
0.80 	 --undefined-- 	 58.319 
0.81 	 --undefined-- 	 62.827 
0.82 	 133.285 	 64.380 
0.83 	 132.388 	 64.196 
0.84 	 130.133 	 63.240 
0.85 	 128.636 	 62.043 
0.86 	 128.430 	 61.093 
0.87 	 128.604 	 60.339 
0.88 	 128.720 	 59.482 
0.89 	 128.243 	 58.440 
0.90 	 128.003 	 57.391 
0.91 	 128.174 	 56.691 
0.92 	 128.456 	 56.463 
0.93 	 128.645 	 56.527 
0.94 	 128.373 	 56.330 
0.95 	 127.649 	 55.494 
0.96 	 128.516 	 54.799 
0.97 	 130.498 	 55.079 
0.98 	 131.420 	 55.861 
0.99 	 132.463 	 56.970 
1.00 	 133.714 	 58.534 
1.01 	 132.959 	 59.858 
1.02 	 132.301 	 60.104 
1.03 	 131.568 	 59.098 
1.04 	 130.274 	 57.185 
1.05 	 129.607 	 55.265 
1.06 	 130.463 	 54.329 
1.07 	 132.609 	 54.173 
1.08 	 134.471 	 54.233 
1.09 	 135.625 	 54.374 
