'timestamp' 	 'V_Pitch' 	 'V_Intensity' 
'numInterv' 	 1000 
0.01 	 --undefined-- 	 --undefined-- 
0.02 	 --undefined-- 	 --undefined-- 
0.03 	 --undefined-- 	 --undefined-- 
0.04 	 --undefined-- 	 --undefined-- 
0.05 	 --undefined-- 	 45.754 
0.06 	 --undefined-- 	 45.060 
0.07 	 --undefined-- 	 42.712 
0.08 	 --undefined-- 	 39.009 
0.09 	 --undefined-- 	 37.202 
0.10 	 --undefined-- 	 39.063 
0.11 	 --undefined-- 	 42.266 
0.12 	 --undefined-- 	 44.293 
0.13 	 --undefined-- 	 44.924 
0.14 	 --undefined-- 	 44.474 
0.15 	 --undefined-- 	 42.781 
0.16 	 --undefined-- 	 41.642 
0.17 	 --undefined-- 	 42.241 
0.18 	 --undefined-- 	 42.428 
0.19 	 --undefined-- 	 41.332 
0.20 	 --undefined-- 	 39.552 
0.21 	 --undefined-- 	 39.484 
0.22 	 --undefined-- 	 42.774 
0.23 	 --undefined-- 	 45.129 
0.24 	 --undefined-- 	 45.726 
0.25 	 --undefined-- 	 45.460 
0.26 	 --undefined-- 	 44.578 
0.27 	 --undefined-- 	 42.490 
0.28 	 --undefined-- 	 41.526 
0.29 	 --undefined-- 	 50.371 
0.30 	 --undefined-- 	 57.918 
0.31 	 --undefined-- 	 61.623 
0.32 	 --undefined-- 	 62.287 
0.33 	 --undefined-- 	 60.712 
0.34 	 --undefined-- 	 57.148 
0.35 	 --undefined-- 	 51.622 
0.36 	 --undefined-- 	 45.874 
0.37 	 --undefined-- 	 42.698 
0.38 	 --undefined-- 	 41.100 
0.39 	 --undefined-- 	 40.136 
0.40 	 --undefined-- 	 39.268 
0.41 	 --undefined-- 	 38.037 
0.42 	 --undefined-- 	 37.402 
0.43 	 --undefined-- 	 37.521 
0.44 	 --undefined-- 	 37.031 
0.45 	 --undefined-- 	 36.489 
0.46 	 --undefined-- 	 37.210 
0.47 	 --undefined-- 	 38.362 
0.48 	 --undefined-- 	 38.444 
0.49 	 --undefined-- 	 36.526 
0.50 	 --undefined-- 	 32.871 
0.51 	 --undefined-- 	 32.422 
0.52 	 --undefined-- 	 36.986 
0.53 	 --undefined-- 	 40.399 
0.54 	 --undefined-- 	 41.986 
0.55 	 --undefined-- 	 42.321 
0.56 	 --undefined-- 	 41.352 
0.57 	 --undefined-- 	 38.656 
0.58 	 --undefined-- 	 34.397 
0.59 	 --undefined-- 	 31.975 
0.60 	 --undefined-- 	 35.435 
0.61 	 --undefined-- 	 38.848 
0.62 	 --undefined-- 	 40.567 
0.63 	 --undefined-- 	 41.611 
0.64 	 --undefined-- 	 42.216 
0.65 	 --undefined-- 	 42.087 
0.66 	 --undefined-- 	 41.173 
0.67 	 --undefined-- 	 38.893 
0.68 	 --undefined-- 	 35.480 
0.69 	 --undefined-- 	 36.207 
0.70 	 --undefined-- 	 39.577 
0.71 	 --undefined-- 	 40.746 
0.72 	 --undefined-- 	 40.239 
0.73 	 --undefined-- 	 43.948 
0.74 	 --undefined-- 	 52.119 
0.75 	 --undefined-- 	 58.237 
0.76 	 --undefined-- 	 62.146 
0.77 	 --undefined-- 	 63.854 
0.78 	 --undefined-- 	 63.703 
0.79 	 --undefined-- 	 62.515 
0.80 	 --undefined-- 	 60.715 
0.81 	 --undefined-- 	 57.805 
0.82 	 --undefined-- 	 53.548 
0.83 	 --undefined-- 	 48.946 
0.84 	 --undefined-- 	 45.003 
0.85 	 --undefined-- 	 41.684 
0.86 	 --undefined-- 	 38.893 
0.87 	 --undefined-- 	 40.194 
0.88 	 --undefined-- 	 46.112 
0.89 	 --undefined-- 	 49.828 
0.90 	 --undefined-- 	 50.969 
0.91 	 --undefined-- 	 50.316 
0.92 	 --undefined-- 	 48.542 
0.93 	 --undefined-- 	 46.219 
0.94 	 --undefined-- 	 43.996 
0.95 	 --undefined-- 	 41.403 
0.96 	 --undefined-- 	 38.025 
0.97 	 --undefined-- 	 34.642 
0.98 	 --undefined-- 	 32.947 
