'timestamp' 	 'F1Value' 	 'F2Value' 
'numInterv' 	 1000 
0.005 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 
0.025 	 --undefined-- 	 --undefined-- 
0.035 	 672.9 	 1330.4 
0.045 	 671.1 	 1328.6 
0.055 	 676.6 	 1345.2 
0.065 	 673.2 	 1339.3 
0.075 	 667.5 	 1327.9 
0.085 	 667.5 	 1333.4 
0.095 	 666.6 	 1330.6 
0.105 	 665.1 	 1321.9 
0.115 	 663.1 	 1317.9 
0.125 	 659.7 	 1318.6 
0.135 	 656.9 	 1314.0 
0.145 	 653.8 	 1301.9 
0.155 	 654.3 	 1289.5 
0.165 	 660.9 	 1290.5 
0.175 	 665.7 	 1298.7 
0.185 	 659.9 	 1306.4 
0.195 	 662.0 	 1312.9 
0.205 	 675.4 	 1299.7 
0.215 	 605.9 	 1242.2 
0.225 	 612.9 	 1316.5 
0.235 	 720.4 	 1468.3 
0.245 	 720.4 	 1508.1 
0.255 	 738.8 	 1754.7 
0.265 	 699.8 	 1836.1 
0.275 	 620.7 	 1589.2 
0.285 	 847.4 	 1920.9 
0.295 	 731.0 	 1863.0 
0.305 	 670.8 	 1765.0 
0.315 	 979.1 	 2213.3 
0.325 	 979.7 	 2183.8 
0.335 	 734.3 	 1942.2 
0.345 	 592.1 	 1841.4 
0.355 	 590.0 	 1983.0 
0.365 	 732.9 	 2222.5 
0.375 	 604.9 	 1995.6 
0.385 	 204.0 	 1677.1 
0.395 	 251.8 	 1726.5 
0.405 	 291.8 	 1637.5 
0.415 	 926.1 	 2201.0 
0.425 	 959.9 	 2369.7 
0.435 	 565.8 	 1890.1 
0.445 	 462.6 	 1772.7 
0.455 	 222.7 	 1261.1 
0.465 	 517.3 	 1183.6 
0.475 	 708.7 	 1494.1 
0.485 	 743.5 	 1520.5 
0.495 	 740.5 	 1557.8 
0.505 	 741.1 	 1572.0 
0.515 	 754.8 	 1573.9 
0.525 	 755.1 	 1580.6 
0.535 	 745.8 	 1602.6 
0.545 	 729.5 	 1598.9 
0.555 	 706.7 	 1583.0 
0.565 	 697.2 	 1635.0 
0.575 	 695.9 	 1701.4 
0.585 	 660.1 	 1697.2 
0.595 	 520.7 	 1637.6 
0.605 	 391.5 	 1541.9 
0.615 	 371.7 	 1395.1 
0.625 	 380.3 	 1321.4 
0.635 	 379.7 	 1283.3 
0.645 	 374.2 	 1288.9 
0.655 	 375.9 	 1327.8 
0.665 	 380.1 	 1286.9 
0.675 	 395.4 	 1270.0 
0.685 	 407.5 	 1342.0 
0.695 	 386.4 	 1386.0 
0.705 	 369.2 	 1365.9 
0.715 	 410.9 	 1607.5 
0.725 	 405.1 	 1647.3 
0.735 	 424.9 	 1537.6 
0.745 	 525.0 	 1542.6 
0.755 	 562.4 	 1439.3 
0.765 	 680.0 	 1468.6 
0.775 	 820.2 	 1511.0 
0.785 	 813.1 	 1509.2 
0.795 	 800.6 	 1499.4 
0.805 	 813.9 	 1472.8 
0.815 	 808.3 	 1448.3 
0.825 	 793.1 	 1418.1 
0.835 	 773.9 	 1412.6 
0.845 	 768.7 	 1446.5 
0.855 	 761.9 	 1516.3 
0.865 	 740.1 	 1588.4 
0.875 	 712.6 	 1655.7 
0.885 	 680.7 	 1747.6 
0.895 	 626.3 	 1841.5 
0.905 	 570.3 	 1910.9 
0.915 	 542.8 	 1947.5 
0.925 	 530.7 	 1986.0 
0.935 	 516.7 	 2002.5 
0.945 	 502.4 	 1846.3 
0.955 	 464.2 	 1576.0 
0.965 	 431.3 	 1471.1 
0.975 	 425.0 	 1457.2 
0.985 	 427.0 	 1409.1 
0.995 	 448.8 	 1407.5 
1.005 	 478.6 	 1560.9 
1.015 	 505.9 	 1813.5 
1.025 	 521.0 	 1962.2 
1.035 	 518.0 	 1933.1 
1.045 	 470.9 	 1693.4 
1.055 	 420.6 	 1484.0 
1.065 	 410.6 	 1394.8 
1.075 	 420.0 	 1349.7 
1.085 	 422.8 	 1327.4 
1.095 	 423.9 	 1317.4 
1.105 	 429.2 	 1327.4 
1.115 	 438.1 	 1399.8 
1.125 	 438.6 	 1404.4 
1.135 	 426.1 	 1304.1 
1.145 	 436.8 	 1275.4 
1.155 	 510.3 	 1295.8 
1.165 	 603.6 	 1402.0 
1.175 	 656.3 	 1512.7 
1.185 	 677.7 	 1570.4 
1.195 	 679.3 	 1625.6 
1.205 	 670.3 	 1678.8 
1.215 	 654.3 	 1725.4 
1.225 	 635.1 	 1740.1 
1.235 	 600.1 	 1718.0 
1.245 	 565.4 	 1665.7 
1.255 	 580.9 	 1628.2 
1.265 	 641.1 	 1662.8 
1.275 	 692.5 	 1727.1 
1.285 	 664.4 	 1680.6 
1.295 	 692.7 	 1660.9 
1.305 	 732.9 	 1734.1 
1.315 	 693.9 	 1706.9 
1.325 	 668.1 	 1578.9 
1.335 	 652.9 	 1528.0 
1.345 	 656.3 	 1587.3 
1.355 	 655.9 	 1614.5 
1.365 	 646.3 	 1638.8 
1.375 	 620.0 	 1707.6 
1.385 	 586.6 	 1785.7 
1.395 	 551.9 	 1852.3 
1.405 	 530.4 	 1886.4 
1.415 	 527.4 	 1868.2 
1.425 	 480.6 	 1831.7 
1.435 	 449.2 	 1856.8 
1.445 	 464.4 	 1801.6 
1.455 	 465.7 	 1681.1 
1.465 	 474.3 	 1597.7 
