'timestamp' 	 'F1Value' 	 'F2Value' 
'numInterv' 	 1000 
0.005 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 
0.025 	 --undefined-- 	 --undefined-- 
1.735 	 504.8 	 1743.0 
1.745 	 628.5 	 1441.9 
1.755 	 641.6 	 1615.2 
1.765 	 540.1 	 2005.8 
1.775 	 461.1 	 1966.0 
1.785 	 416.1 	 1947.7 
1.795 	 407.4 	 1789.8 
1.805 	 400.7 	 1654.0 
1.815 	 454.3 	 1733.0 
1.825 	 1075.0 	 2474.7 
1.835 	 1316.4 	 2581.2 
1.845 	 731.7 	 2033.1 
1.855 	 506.4 	 1953.7 
1.865 	 569.6 	 1749.2 
1.875 	 640.4 	 1654.9 
1.885 	 659.3 	 1586.4 
1.895 	 697.8 	 1462.4 
1.905 	 764.4 	 1430.8 
1.915 	 811.3 	 1476.1 
1.925 	 838.1 	 1532.2 
1.935 	 817.5 	 1428.7 
1.945 	 788.3 	 1359.9 
1.955 	 799.3 	 1381.6 
1.965 	 791.2 	 1379.0 
1.975 	 787.4 	 1385.0 
1.985 	 785.3 	 1397.9 
1.995 	 789.3 	 1402.3 
2.005 	 787.2 	 1405.7 
2.015 	 772.8 	 1456.5 
2.025 	 783.9 	 1541.8 
2.035 	 782.0 	 1558.9 
2.045 	 801.1 	 1379.5 
2.055 	 752.5 	 1417.5 
2.065 	 588.1 	 1787.6 
2.075 	 367.5 	 1723.7 
2.085 	 424.5 	 1643.9 
2.095 	 1110.3 	 2078.0 
2.105 	 1062.8 	 2043.0 
2.115 	 579.8 	 1726.6 
2.125 	 590.2 	 1688.3 
2.135 	 562.7 	 1702.9 
2.145 	 486.6 	 1787.0 
2.155 	 347.3 	 1735.5 
2.165 	 397.0 	 1643.4 
2.175 	 350.0 	 1699.1 
2.185 	 461.7 	 1818.5 
2.195 	 593.4 	 1812.1 
2.205 	 521.7 	 1761.1 
2.215 	 548.2 	 1713.7 
2.225 	 603.1 	 1696.7 
2.235 	 598.4 	 1717.9 
2.245 	 1001.0 	 2048.6 
2.255 	 1471.5 	 2111.4 
2.265 	 879.7 	 1721.5 
2.275 	 930.6 	 1606.8 
2.285 	 1612.8 	 2205.7 
2.295 	 1544.7 	 2623.7 
2.305 	 954.5 	 1977.2 
2.315 	 480.3 	 1509.3 
2.325 	 944.8 	 2091.2 
2.335 	 1453.6 	 2657.5 
2.345 	 829.2 	 2130.3 
2.355 	 248.2 	 1672.5 
2.365 	 827.7 	 1864.5 
2.375 	 868.3 	 1932.6 
2.385 	 1108.7 	 2354.0 
2.395 	 1810.6 	 2824.0 
2.405 	 1763.8 	 2758.2 
2.415 	 1801.1 	 2748.8 
2.425 	 1707.9 	 2691.1 
2.435 	 1684.2 	 2636.9 
2.445 	 1713.1 	 2708.8 
2.455 	 1771.1 	 2769.4 
2.465 	 1156.7 	 2449.0 
2.475 	 299.9 	 1930.9 
2.485 	 241.0 	 1673.3 
2.495 	 222.8 	 1619.8 
2.505 	 282.6 	 1987.0 
2.515 	 371.5 	 2090.0 
2.525 	 345.3 	 1792.4 
2.535 	 334.9 	 1722.3 
2.545 	 334.7 	 1745.7 
2.555 	 330.4 	 1774.7 
2.565 	 274.9 	 1694.9 
2.575 	 539.7 	 1680.0 
2.585 	 705.1 	 2256.2 
2.595 	 527.3 	 2668.5 
2.605 	 530.3 	 2520.0 
2.615 	 1523.5 	 3024.0 
2.625 	 1471.6 	 3043.2 
2.635 	 1471.9 	 3103.2 
2.645 	 2575.8 	 3571.3 
2.655 	 1504.8 	 3070.4 
2.665 	 453.9 	 2616.6 
2.675 	 498.6 	 2553.3 
2.685 	 471.5 	 2589.2 
2.695 	 404.8 	 2136.8 
2.705 	 400.4 	 1626.1 
2.715 	 518.6 	 1603.0 
2.725 	 572.9 	 1599.3 
2.735 	 588.3 	 1572.4 
2.745 	 604.4 	 1542.6 
2.755 	 610.8 	 1548.8 
2.765 	 585.3 	 1605.2 
2.775 	 558.9 	 1653.1 
2.785 	 581.5 	 1775.9 
2.795 	 542.1 	 1827.3 
2.805 	 515.7 	 1903.7 
2.815 	 540.5 	 2001.2 
2.825 	 527.2 	 2077.6 
2.835 	 590.8 	 2140.5 
2.845 	 548.4 	 2124.0 
2.855 	 563.2 	 2085.6 
2.865 	 617.6 	 2032.1 
2.875 	 1175.7 	 2429.0 
2.885 	 1459.9 	 2328.2 
2.895 	 793.1 	 1850.2 
2.905 	 1123.6 	 2283.9 
2.915 	 1037.2 	 2277.0 
2.925 	 992.5 	 1839.3 
2.935 	 1744.1 	 1880.2 
2.945 	 1101.5 	 1870.7 
2.955 	 836.0 	 1944.8 
2.965 	 869.7 	 1970.8 
2.975 	 1120.0 	 2408.4 
2.985 	 1234.3 	 2404.9 
2.995 	 848.4 	 1945.3 
3.005 	 1403.2 	 2479.6 
3.015 	 1056.5 	 2373.6 
3.025 	 1035.3 	 2359.1 
3.035 	 1529.7 	 2418.6 
3.045 	 1211.2 	 1814.8 
3.055 	 1051.0 	 1871.7 
3.065 	 1085.0 	 2035.4 
3.075 	 1135.9 	 1940.5 
3.085 	 1219.6 	 2225.0 
3.095 	 851.6 	 2232.8 
3.105 	 669.2 	 2130.3 
3.115 	 954.9 	 2281.8 
3.125 	 655.4 	 2019.9 
3.135 	 403.8 	 2107.6 
3.145 	 633.7 	 2258.9 
3.155 	 748.5 	 2104.4 
3.165 	 470.6 	 1871.4 
3.175 	 355.4 	 1638.1 
3.185 	 432.9 	 1531.8 
3.195 	 456.3 	 1456.5 
3.205 	 450.3 	 1438.6 
3.215 	 400.8 	 1341.5 
3.225 	 318.2 	 1323.2 
3.235 	 248.7 	 1473.1 
3.245 	 263.6 	 1583.4 
3.255 	 375.3 	 1812.5 
3.265 	 402.8 	 1930.6 
3.275 	 420.1 	 1989.5 
3.285 	 489.5 	 2128.4 
3.295 	 476.8 	 2155.4 
3.305 	 700.8 	 2109.9 
3.315 	 698.0 	 1988.6 
3.325 	 419.8 	 1881.6 
3.335 	 382.5 	 1838.3 
3.345 	 538.2 	 1843.4 
3.355 	 755.9 	 1871.6 
3.365 	 1212.0 	 1833.3 
3.375 	 1405.4 	 1940.1 
3.385 	 893.5 	 2005.8 
3.395 	 675.1 	 1895.6 
3.405 	 717.4 	 1866.2 
3.415 	 669.6 	 1843.7 
3.425 	 851.2 	 1880.2 
3.435 	 1329.5 	 1926.6 
3.445 	 1376.1 	 1907.9 
3.455 	 721.4 	 1898.5 
3.465 	 263.3 	 1878.8 
3.475 	 438.0 	 1866.2 
3.485 	 708.7 	 1869.1 
3.495 	 784.8 	 1908.1 
3.505 	 867.4 	 1932.4 
3.515 	 743.2 	 1922.8 
3.525 	 683.0 	 1911.5 
3.535 	 1012.7 	 1904.4 
3.545 	 1009.0 	 1944.9 
3.555 	 879.0 	 1937.9 
3.565 	 966.5 	 1886.7 
3.575 	 1028.1 	 1867.6 
3.585 	 950.9 	 1880.3 
3.595 	 707.3 	 1883.9 
3.605 	 1091.8 	 1873.0 
3.615 	 1241.6 	 1854.3 
3.625 	 863.7 	 1875.4 
3.635 	 666.2 	 1827.7 
3.645 	 602.3 	 1801.1 
3.655 	 482.2 	 1797.9 
3.665 	 823.8 	 1775.6 
3.675 	 1052.6 	 1796.5 
3.685 	 556.5 	 1760.0 
3.695 	 429.3 	 1767.4 
3.705 	 431.3 	 1730.2 
3.715 	 413.7 	 1729.6 
3.725 	 643.8 	 1973.7 
3.735 	 876.8 	 2144.8 
3.745 	 841.2 	 2097.8 
3.755 	 1342.3 	 2473.3 
3.765 	 1128.6 	 2443.9 
3.775 	 769.1 	 2084.0 
3.785 	 852.9 	 1909.2 
3.795 	 706.9 	 1660.9 
3.805 	 898.3 	 1666.9 
3.815 	 941.8 	 1652.7 
3.825 	 994.4 	 1654.6 
3.835 	 966.6 	 1669.4 
3.845 	 852.1 	 1567.5 
3.855 	 764.1 	 1455.5 
3.865 	 737.6 	 1455.2 
3.875 	 741.1 	 1470.3 
3.885 	 750.6 	 1482.9 
3.895 	 753.8 	 1508.6 
3.905 	 744.9 	 1562.0 
3.915 	 724.3 	 1629.0 
3.925 	 701.3 	 1691.0 
3.935 	 680.1 	 1761.3 
3.945 	 660.1 	 1824.8 
3.955 	 629.9 	 1862.8 
3.965 	 591.1 	 1890.6 
3.975 	 572.8 	 1912.4 
3.985 	 570.0 	 1916.8 
3.995 	 560.3 	 1891.6 
4.005 	 548.5 	 1850.8 
4.015 	 547.2 	 1821.6 
4.025 	 545.4 	 1790.2 
4.035 	 531.6 	 1748.7 
4.045 	 517.3 	 1682.5 
4.055 	 506.8 	 1599.6 
4.065 	 492.9 	 1539.7 
4.075 	 475.1 	 1487.8 
4.085 	 462.9 	 1428.6 
4.095 	 872.5 	 1814.3 
4.105 	 1277.8 	 2227.8 
4.115 	 1294.6 	 2210.2 
4.125 	 1377.1 	 2294.8 
4.135 	 947.8 	 1949.3 
4.145 	 442.5 	 1513.3 
4.155 	 441.2 	 1544.3 
4.165 	 460.2 	 1580.2 
4.175 	 463.3 	 1588.0 
4.185 	 464.3 	 1567.3 
4.195 	 469.7 	 1500.5 
4.205 	 488.1 	 1395.8 
4.215 	 529.2 	 1314.7 
4.225 	 583.4 	 1265.0 
4.235 	 626.4 	 1247.5 
4.245 	 667.1 	 1268.3 
4.255 	 701.0 	 1296.0 
4.265 	 724.5 	 1323.1 
4.275 	 739.7 	 1351.8 
4.285 	 741.3 	 1385.1 
4.295 	 742.8 	 1413.0 
4.305 	 739.9 	 1429.2 
4.315 	 736.2 	 1448.8 
4.325 	 714.3 	 1470.0 
4.335 	 670.0 	 1483.0 
4.345 	 635.0 	 1482.8 
4.355 	 506.6 	 1468.3 
4.365 	 337.4 	 1462.5 
4.375 	 283.9 	 1441.8 
4.385 	 267.6 	 1397.0 
4.395 	 244.1 	 1391.4 
4.405 	 232.6 	 1433.2 
4.415 	 232.3 	 1446.3 
4.425 	 244.4 	 1425.8 
4.435 	 239.7 	 1446.5 
4.445 	 271.6 	 1471.0 
4.455 	 368.6 	 1465.0 
4.465 	 435.6 	 1485.7 
4.475 	 460.8 	 1565.0 
4.485 	 478.1 	 1538.2 
4.495 	 486.1 	 1437.0 
4.505 	 450.7 	 1490.3 
4.515 	 417.7 	 1452.7 
4.525 	 421.5 	 1578.8 
4.535 	 443.2 	 1897.6 
4.545 	 522.2 	 1776.8 
4.555 	 558.3 	 1603.7 
4.565 	 463.9 	 1664.4 
4.575 	 286.7 	 1997.3 
4.585 	 244.9 	 2244.6 
4.595 	 333.3 	 1878.9 
4.605 	 381.0 	 1244.8 
4.615 	 408.0 	 1277.9 
4.625 	 419.0 	 1594.0 
4.635 	 420.1 	 1397.6 
4.645 	 412.3 	 1219.9 
4.655 	 407.1 	 1224.1 
4.665 	 397.4 	 1287.1 
4.675 	 370.5 	 1312.8 
4.685 	 348.2 	 1315.2 
4.695 	 351.9 	 1514.0 
4.705 	 360.6 	 1594.5 
4.715 	 370.4 	 1445.2 
4.725 	 375.7 	 1340.5 
4.735 	 383.5 	 1246.1 
4.745 	 447.2 	 1173.2 
4.755 	 559.8 	 1032.1 
4.765 	 716.6 	 893.5 
4.775 	 816.2 	 884.1 
4.785 	 826.2 	 878.4 
4.795 	 835.6 	 849.7 
4.805 	 844.2 	 878.0 
4.815 	 864.3 	 924.6 
4.825 	 845.1 	 1008.2 
4.835 	 747.9 	 1140.5 
4.845 	 697.9 	 1235.0 
4.855 	 749.2 	 1336.6 
4.865 	 751.6 	 1494.8 
4.875 	 708.6 	 1569.6 
4.885 	 981.2 	 1715.3 
4.895 	 925.1 	 1857.1 
4.905 	 586.1 	 1896.2 
4.915 	 570.0 	 1988.7 
4.925 	 551.4 	 2039.0 
4.935 	 549.5 	 2063.0 
4.945 	 557.3 	 2097.2 
4.955 	 583.5 	 2134.0 
4.965 	 596.5 	 2187.7 
4.975 	 587.6 	 2196.6 
4.985 	 530.9 	 2135.3 
4.995 	 416.8 	 1881.8 
5.005 	 370.4 	 1582.2 
5.015 	 344.8 	 1269.3 
5.025 	 320.9 	 1395.1 
5.035 	 332.8 	 1756.3 
5.045 	 305.6 	 1589.0 
5.055 	 545.9 	 1552.9 
5.065 	 680.3 	 1576.5 
5.075 	 669.9 	 1685.3 
5.085 	 728.0 	 1897.1 
5.095 	 599.8 	 1803.3 
5.105 	 697.9 	 1821.8 
5.115 	 737.2 	 1888.9 
5.125 	 642.9 	 1824.2 
5.135 	 764.2 	 2010.5 
5.145 	 811.4 	 2135.5 
5.155 	 743.3 	 2282.5 
5.165 	 936.2 	 2552.9 
5.175 	 1042.3 	 1906.0 
5.185 	 835.9 	 1221.4 
5.195 	 731.7 	 1241.0 
5.205 	 736.6 	 1301.1 
5.215 	 742.1 	 1365.3 
5.225 	 736.4 	 1394.9 
5.235 	 734.5 	 1366.7 
5.245 	 727.0 	 1323.0 
5.255 	 724.0 	 1307.4 
5.265 	 722.5 	 1298.0 
5.275 	 722.4 	 1285.9 
5.285 	 730.6 	 1280.1 
5.295 	 738.7 	 1268.0 
5.305 	 742.6 	 1251.7 
5.315 	 750.2 	 1244.0 
5.325 	 756.0 	 1239.4 
5.335 	 750.5 	 1236.7 
5.345 	 752.3 	 1247.6 
5.355 	 757.0 	 1265.6 
